nombre,seguidores,amigos,tweets,localizacion,verificado,idioma,protected
jagarse,59,76,49,Valencia,False,es,False
GasentJoan,54,393,12,Ibiza / Valencia,False,es,False
Vorogm,14,38,188,Valencia,False,es,False
seplarui,106,466,240,,False,es,False
davidvellisca,31,116,19,Guadalajara,False,es,False
silviahincapie,128,554,103,Bogot\u00e1,False,es,False
hectorclaramunt,174,1026,632,España,False,es,False
22nd_reaper,90,233,30078,Detr\u00e1s de ti,False,es,False
ConsuladoRD_vlc,391,578,234,Valencia,False,es,False
DalalBahra,5,35,30,,False,ar,False
jgraurubio,32,350,3,,False,es,False
pop_cantina,12,116,59,Rocafort,False,es,False
strll14,79,323,687,Valencia,False,es,False
Cacauvlc,47,42,1016,,False,es,False
jjXap,251,2033,846,Worthy Valley (Val\u00e8ncia),False,es,False
Yvonneblanquer,124,431,1534,Valencia,False,es,False
SoyJMGonzalez,299,519,1493,Valencia,False,es,False
alberto_nebot,282,153,1387,PU\u00c7OL (Val\u00e8ncia),False,es,False
CandyRodenas,2189,1195,39480,,False,es,False
emiliopenya,2490,821,10872,Valencia,False,es,False
trastito69,24,78,20,,False,es,False
christianeevlc,128,304,6081,Valencia,False,es,False
maofoto,120,165,823,,False,es,False
Tomas_Munyoz,858,1371,4956,,False,es,False
santiagoverca,9,101,13,Valencia,False,es,False
ciutatamable,182,248,83,Valencia,False,es,False
MonicaSv_,866,621,19108,Castell\u00f3 de la Plana,False,ca,False
rovicar84,15,49,46,España,False,es,False
JosepFrasquetSa,2,39,1,Valencia,False,es,False
IvanHerCor,30,52,232,Valencia,False,es,False
Pacovicente64,6,191,22,,False,es,False
osoigocom,10884,6918,11126,Global,True,eu,False
Poppyns_Store,57,223,128,Valencia,False,es,False
angels_qb,47,611,162,Valencia,False,es,False
Santicrom,41,139,1048,España,False,es,False
emoraga48,342,3835,1344,Valencia,False,es,False
EconomstaMarxst,143,1886,17,,False,ca,False
PagariniI,0,5,16,Valencia,False,en,False
ALCADEZALAMEA21,4,80,8,,False,es,False
jaimegprado,363,500,837,Madrid,False,es,False
Vicen1627,26,148,98,,False,es,False
GemaWer,39,235,509,,False,es,False
mariajo19hi,26,69,123,Valencia,False,es,False
GolfValenciacom,35,456,60,Valencia,False,es,False
UrbanGeaLTD,31,238,3,Reading,False,es,False
jiluzon,314,2024,100,Petrer,False,es,False
UV_EG,57197,209,7618,Valencia,False,es,False
JComedias,85,734,78,Ciudad de Kuala Lumpur,False,es,False
Mariaricart7,2,39,76,,False,es,False
Jorge50479091,0,10,0,España,False,en,False
ana_on7,166,364,10899,Valencia,False,es,False
JustSolzzz,2,17,15,Valencia,False,es,False
IEM_BS,1436,1097,6435,Valencia,False,es,False
dobby127,4,114,28,Vanuatu,False,en,False
Merchemerchita,19,99,131,Valencia,False,es,False
MichalisTW,104,116,109,,False,es,False
LilaBlogger,40241,21648,32221,Alicante,False,es,False
viky82089976,2,59,38,Valencia,False,es,False
3lingua,168,396,7758,,False,pt,False
AndreaMarinJ,184,631,414,Bogot\u00e1,False,es,False
crismarlew1,19,176,274,,False,es,False
santigo85867098,4,99,0,Valencia,False,es,False
vortzz,46,139,73,,False,es,False
MayorAtir,63,638,518,Alcoi ,False,es,False
Fjkcala1,9,268,1,Mislata,False,es,False
Onemallorketa,45,534,459,,False,es,False
bagnoalbatros,825,2426,2197,Lido di Classe  (Ra) - ITALIA,False,it,False
Hugo_p85,18,74,366,,False,es,False
